x,y,real_psi_tilde,imag_psi_tilde,physical_density
4.5000000000000000e+00,-5.2500000000000000e+00,-1.7161149688408290e-09,0.0000000000000000e+00,2.0942581946876866e-17
4.8750000000000000e+00,-5.2500000000000000e+00,1.8705369512968992e-09,0.0000000000000000e+00,2.4881127012743808e-17
5.2500000000000000e+00,-5.2500000000000000e+00,1.2740547844441161e-09,0.0000000000000000e+00,1.1542866444550707e-17
5.6250000000000000e+00,-5.2500000000000000e+00,-1.6890011640462351e-09,0.0000000000000000e+00,2.0286043961952263e-17
-6.0000000000000000e+00,-4.8750000000000000e+00,-2.1597764367373801e-09,0.0000000000000000e+00,3.3170732491989434e-17
-5.6250000000000000e+00,-4.8750000000000000e+00,-2.8523636231004125e-10,0.0000000000000000e+00,5.7855845250748526e-19
-5.2500000000000000e+00,-4.8750000000000000e+00,3.9905029188432036e-10,0.0000000000000000e+00,1.1323814076655024e-18
-4.8750000000000000e+00,-4.8750000000000000e+00,5.3785393844884884e-09,0.0000000000000000e+00,2.0571509980795597e-16
-4.5000000000000000e+00,-4.8750000000000000e+00,2.4707878394584318e-09,0.0000000000000000e+00,4.3411858116378068e-17
-4.1250000000000000e+00,-4.8750000000000000e+00,2.9040034409215618e-09,0.0000000000000000e+00,5.9969678114732593e-17
-3.7500000000000000e+00,-4.8750000000000000e+00,2.1762931776061204e-08,0.0000000000000000e+00,3.3680014185919602e-15
-3.3750000000000000e+00,-4.8750000000000000e+00,5.3463563111476495e-08,0.0000000000000000e+00,2.0326062795198793e-14
-3.0000000000000000e+00,-4.8750000000000000e+00,1.5994365333328449e-07,0.0000000000000000e+00,1.8191624705136274e-13
-2.6250000000000000e+00,-4.8750000000000000e+00,4.5031206165807014e-07,0.0000000000000000e+00,1.4419978871092732e-12
-2.2500000000000000e+00,-4.8750000000000000e+00,1.0713324975808381e-06,0.0000000000000000e+00,8.1618013893176638e-12
-1.8750000000000000e+00,-4.8750000000000000e+00,2.2474539439692369e-06,0.0000000000000000e+00,3.5918572304091575e-11
-1.5000000000000000e+00,-4.8750000000000000e+00,4.0848901071647151e-06,0.0000000000000000e+00,1.1865832666746425e-10
-1.1250000000000000e+00,-4.8750000000000000e+00,6.5012514097559737e-06,0.0000000000000000e+00,3.0056014146029534e-10
-7.5000000000000000e-01,-4.8750000000000000e+00,9.0662526694120342e-06,0.0000000000000000e+00,5.8451155531108151e-10
-3.7500000000000000e-01,-4.8750000000000000e+00,1.1084494174902258e-05,0.0000000000000000e+00,8.7371385680669934e-10
0.0000000000000000e+00,-4.8750000000000000e+00,1.1862448557080903e-05,0.0000000000000000e+00,1.0006590988045568e-09
3.7500000000000000e-01,-4.8750000000000000e+00,1.1082840670851774e-05,0.0000000000000000e+00,8.7345320771901291e-10
7.5000000000000000e-01,-4.8750000000000000e+00,9.0636891580983109e-06,0.0000000000000000e+00,5.8418105709958301e-10
1.1250000000000000e+00,-4.8750000000000000e+00,6.4973561498003808e-06,0.0000000000000000e+00,3.0020008488781391e-10
1.5000000000000000e+00,-4.8750000000000000e+00,4.0867175848072754e-06,0.0000000000000000e+00,1.1876451995003031e-10
1.8750000000000000e+00,-4.8750000000000000e+00,2.2436591577033183e-06,0.0000000000000000e+00,3.5797378957837965e-11
2.2500000000000000e+00,-4.8750000000000000e+00,1.0711779395128807e-06,0.0000000000000000e+00,8.1594465998155432e-12
2.6250000000000000e+00,-4.8750000000000000e+00,4.4760670069581699e-07,0.0000000000000000e+00,1.4247236160554289e-12
3.0000000000000000e+00,-4.8750000000000000e+00,1.6105517227819447e-07,0.0000000000000000e+00,1.8445346501375217e-13
3.3750000000000000e+00,-4.8750000000000000e+00,6.1892696590281001e-08,0.0000000000000000e+00,2.7240575226429024e-14
3.7500000000000000e+00,-4.8750000000000000e+00,1.5639919001299111e-08,0.0000000000000000e+00,1.7394280275000672e-15
4.1250000000000000e+00,-4.8750000000000000e+00,1.1145701484901711e-08,0.0000000000000000e+00,8.8338959353273027e-16
4.5000000000000000e+00,-4.8750000000000000e+00,-1.5581291029063373e-09,0.0000000000000000e+00,1.7264115920524142e-17
4.8750000000000000e+00,-4.8750000000000000e+00,1.8077599224056869e-09,0.0000000000000000e+00,2.3239082219066419e-17
5.2500000000000000e+00,-4.8750000000000000e+00,1.8116622759384273e-09,0.0000000000000000e+00,2.3339521436859751e-17
